"Date","Number_of_new_cases"
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,1
2020-01-31,3
2020-02-01,0
2020-02-02,1
2020-02-03,0
2020-02-04,0
2020-02-05,3
2020-02-06,1
2020-02-07,0
2020-02-08,0
2020-02-09,1
2020-02-10,1
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,2
2020-02-17,0
2020-02-18,2
2020-02-19,34
2020-02-20,16
2020-02-21,74
2020-02-22,190
2020-02-23,209
2020-02-24,206
2020-02-25,129
2020-02-26,252
2020-02-27,447
2020-02-28,427
2020-02-29,909
2020-03-01,593
2020-03-02,684
2020-03-03,599
2020-03-04,516
2020-03-05,437
2020-03-06,518
2020-03-07,483
2020-03-08,366
2020-03-09,247
2020-03-10,131
2020-03-11,239
2020-03-12,112
2020-03-13,107
2020-03-14,102
2020-03-15,72
2020-03-16,70
2020-03-17,79
2020-03-18,80
2020-03-19,135
2020-03-20,73
2020-03-21,126
2020-03-22,77
2020-03-23,46
2020-03-24,46
2020-03-25,42
2020-03-26,56
2020-03-27,57
2020-03-28,90
2020-03-29,38
2020-03-30,35
2020-03-31,88
2020-04-01,56
2020-04-02,43
2020-04-03,37
2020-04-04,53
2020-04-05,31
2020-04-06,25
2020-04-07,23
2020-04-08,23
2020-04-09,13
2020-04-10,17
2020-04-11,16
2020-04-12,9
2020-04-13,10
2020-04-14,11
2020-04-15,13
2020-04-16,11
2020-04-17,7
2020-04-18,9
2020-04-19,2
2020-04-20,6
2020-04-21,4
2020-04-22,5
2020-04-23,4
2020-04-24,4
2020-04-25,5
2020-04-26,1
2020-04-27,3
2020-04-28,2
2020-04-29,4
2020-04-30,0
2020-05-01,1
2020-05-02,0
2020-05-03,3
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,1
2020-05-08,1
2020-05-09,17
2020-05-10,26
2020-05-11,29
2020-05-12,22
2020-05-13,22
2020-05-14,26
2020-05-15,22
2020-05-16,9
2020-05-17,6
2020-05-18,5
2020-05-19,9
2020-05-20,24
2020-05-21,10
2020-05-22,11
2020-05-23,19
2020-05-24,17
2020-05-25,13
2020-05-26,16
2020-05-27,37
2020-05-28,68
2020-05-29,55
2020-05-30,27
2020-05-31,15
2020-06-01,30
2020-06-02,36
2020-06-03,46
2020-06-04,33
2020-06-05,34
2020-06-06,43
2020-06-07,53
2020-06-08,32
2020-06-09,35
2020-06-10,43
2020-06-11,40
2020-06-12,43
2020-06-13,43
2020-06-14,31
2020-06-15,24
2020-06-16,21
2020-06-17,31
2020-06-18,51
2020-06-19,32
2020-06-20,36
2020-06-21,40
2020-06-22,11
2020-06-23,16
2020-06-24,30
2020-06-25,23
2020-06-26,26
2020-06-27,31
2020-06-28,40
2020-06-29,30
2020-06-30,22
2020-07-01,36
2020-07-02,44
2020-07-03,49
2020-07-04,36
2020-07-05,43
2020-07-06,24
2020-07-07,20
2020-07-08,30
2020-07-09,28
2020-07-10,23
2020-07-11,20
2020-07-12,21
2020-07-13,19
2020-07-14,14
2020-07-15,11
2020-07-16,14
2020-07-17,21
2020-07-18,11
2020-07-19,21
2020-07-20,4
2020-07-21,20
2020-07-22,29
2020-07-23,39
2020-07-24,28
2020-07-25,27
2020-07-26,12
2020-07-27,9
2020-07-28,5
2020-07-29,14
2020-07-30,7
2020-07-31,14
2020-08-01,8
2020-08-02,8
2020-08-03,3
2020-08-04,13
2020-08-05,13
2020-08-06,23
2020-08-07,9
2020-08-08,30
2020-08-09,30
2020-08-10,17
2020-08-11,23
2020-08-12,35
2020-08-13,47
2020-08-14,85
2020-08-15,154
2020-08-16,267
2020-08-17,188
2020-08-18,235
2020-08-19,283
2020-08-20,276
2020-08-21,315
2020-08-22,315
2020-08-23,386
2020-08-24,258
2020-08-25,264
2020-08-26,307
2020-08-27,434
2020-08-28,359
2020-08-29,308
2020-08-30,283
2020-08-31,238
2020-09-01,221
2020-09-02,253
2020-09-03,188
2020-09-04,188
2020-09-05,158
2020-09-06,152
2020-09-07,107
2020-09-08,120
2020-09-09,144
2020-09-10,140
2020-09-11,161
2020-09-12,118
2020-09-13,99
2020-09-14,98
2020-09-15,90
2020-09-16,105
2020-09-17,145
2020-09-18,109
2020-09-19,106
2020-09-20,72
2020-09-21,55
2020-09-22,50
2020-09-23,99
2020-09-24,109
2020-09-25,95
2020-09-26,49
2020-09-27,73
2020-09-28,40
2020-09-29,23
2020-09-30,94
2020-10-01,67
2020-10-02,53
2020-10-03,52
2020-10-04,47
2020-10-05,64
2020-10-06,66
2020-10-07,94
2020-10-08,60
2020-10-09,38
2020-10-10,61
2020-10-11,46
2020-10-12,69
2020-10-13,69
2020-10-14,53
2020-10-15,95
2020-10-16,41
2020-10-17,62
2020-10-18,71
2020-10-19,50
2020-10-20,41
2020-10-21,57
2020-10-22,104
2020-10-23,138
2020-10-24,66
2020-10-25,50
2020-10-26,94
2020-10-27,72
2020-10-28,96
2020-10-29,107
2020-10-30,93
2020-10-31,96
2020-11-01,101
2020-11-02,79
2020-11-03,46
2020-11-04,98
2020-11-05,108
2020-11-06,117
2020-11-07,72
2020-11-08,118
2020-11-09,99
2020-11-10,71
2020-11-11,113
2020-11-12,128
2020-11-13,162
2020-11-14,166
2020-11-15,176
2020-11-16,192
2020-11-17,202
2020-11-18,245
2020-11-19,293
2020-11-20,320
2020-11-21,361
2020-11-22,302
2020-11-23,255
2020-11-24,318
2020-11-25,363
2020-11-26,552
2020-11-27,525
2020-11-28,486
2020-11-29,413
2020-11-30,414
2020-12-01,420
2020-12-02,492
2020-12-03,516
2020-12-04,600
2020-12-05,559
2020-12-06,599
2020-12-07,580
2020-12-08,561
2020-12-09,646
2020-12-10,643
2020-12-11,673
2020-12-12,928
2020-12-13,1000
2020-12-14,682
2020-12-15,848
2020-12-16,1054
2020-12-17,994
2020-12-18,1038
2020-12-19,1024
2020-12-20,1071
2020-12-21,891
2020-12-22,821
2020-12-23,1058
2020-12-24,955
2020-12-25,1215
2020-12-26,1103
2020-12-27,946
2020-12-28,786
2020-12-29,1028
2020-12-30,1025
2020-12-31,940
2021-01-01,1002
2021-01-02,784
2021-01-03,641
2021-01-04,986
2021-01-05,672
2021-01-06,807
2021-01-07,832
2021-01-08,632
2021-01-09,596
2021-01-10,623
2021-01-11,419
2021-01-12,510
2021-01-13,535
2021-01-14,496
2021-01-15,483
2021-01-16,547
2021-01-17,500
2021-01-18,366
2021-01-19,351
2021-01-20,373
2021-01-21,381
2021-01-22,314
2021-01-23,403
2021-01-24,369
2021-01-25,405
2021-01-26,333
2021-01-27,516
2021-01-28,479
2021-01-29,445
2021-01-30,421
2021-01-31,323
2021-02-01,285
2021-02-02,295
2021-02-03,433
2021-02-04,429
2021-02-05,350
2021-02-06,362
2021-02-07,325
2021-02-08,264
2021-02-09,273
2021-02-10,414
2021-02-11,467
2021-02-12,384
2021-02-13,345
2021-02-14,304
2021-02-15,322
2021-02-16,429
2021-02-17,590
2021-02-18,590
2021-02-19,533
2021-02-20,416
2021-02-21,391
2021-02-22,313
2021-02-23,329
2021-02-24,417
2021-02-25,368
2021-02-26,363
2021-02-27,405
2021-02-28,333
2021-03-01,338
2021-03-02,319
2021-03-03,426
2021-03-04,401
2021-03-05,381
2021-03-06,404
2021-03-07,398
2021-03-08,335
2021-03-09,427
2021-03-10,452
2021-03-11,444
2021-03-12,467
2021-03-13,474
2021-03-14,436
2021-03-15,367
2021-03-16,345
2021-03-17,452
2021-03-18,427
2021-03-19,441
2021-03-20,435
2021-03-21,437
2021-03-22,396
2021-03-23,331
2021-03-24,411
2021-03-25,419
2021-03-26,466
2021-03-27,490
2021-03-28,461
2021-03-29,369
2021-03-30,429
2021-03-31,491
2021-04-01,537
2021-04-02,532
2021-04-03,521
2021-04-04,514
2021-04-05,449
2021-04-06,459
2021-04-07,653
2021-04-08,674
2021-04-09,644
2021-04-10,662
2021-04-11,594
2021-04-12,560
2021-04-13,528
2021-04-14,714
2021-04-15,670
2021-04-16,652
2021-04-17,630
2021-04-18,648
2021-04-19,512
2021-04-20,529
2021-04-21,692
2021-04-22,715
2021-04-23,758
2021-04-24,759
2021-04-25,603
2021-04-26,469
2021-04-27,477
2021-04-28,748
2021-04-29,648
2021-04-30,642
2021-05-01,592
2021-05-02,585
2021-05-03,465
2021-05-04,514
2021-05-05,651
2021-05-06,562
2021-05-07,509
2021-05-08,672
2021-05-09,522
2021-05-10,436
2021-05-11,483
2021-05-12,612
2021-05-13,692
2021-05-14,729
2021-05-15,661
2021-05-16,572
2021-05-17,597
2021-05-18,506
2021-05-19,637
2021-05-20,619
2021-05-21,542
2021-05-22,633
2021-05-23,570
2021-05-24,505
2021-05-25,481
2021-05-26,684
2021-05-27,620
2021-05-28,571
2021-05-29,505
2021-05-30,464
2021-05-31,411
2021-06-01,449
2021-06-02,654
2021-06-03,672
2021-06-04,674
2021-06-05,725
2021-06-06,541
2021-06-07,454
2021-06-08,435
2021-06-09,581
2021-06-10,593
2021-06-11,541
2021-06-12,525
2021-06-13,419
2021-06-14,360
2021-06-15,347
2021-06-16,522
2021-06-17,523
2021-06-18,485
2021-06-19,456
2021-06-20,380
2021-06-21,317
2021-06-22,350
2021-06-23,605
2021-06-24,576
2021-06-25,602
2021-06-26,611
2021-06-27,570
2021-06-28,472
2021-06-29,560
2021-06-30,759
2021-07-01,711
2021-07-02,765
2021-07-03,748
2021-07-04,662
2021-07-05,644
2021-07-06,690
2021-07-07,1166
2021-07-08,1227
2021-07-09,1236
2021-07-10,1320
2021-07-11,1280
2021-07-12,1063
2021-07-13,1097
2021-07-14,1566
2021-07-15,1554
2021-07-16,1475
2021-07-17,1400
2021-07-18,1402
2021-07-19,1207
2021-07-20,1242
2021-07-21,1725
2021-07-22,1532
2021-07-23,1573
2021-07-24,1572
2021-07-25,1422
2021-07-26,1264
2021-07-27,1274
2021-07-28,1822
2021-07-29,1631
2021-07-30,1662
2021-07-31,1465
2021-08-01,1386
2021-08-02,1150
2021-08-03,1150
2021-08-04,1664
2021-08-05,1716
2021-08-06,1640
2021-08-07,1762
2021-08-08,1668
2021-08-09,1455
2021-08-10,1474
2021-08-11,2144
2021-08-12,1947
2021-08-13,1913
2021-08-14,1858
2021-08-15,1748
2021-08-16,1491
2021-08-17,1322
2021-08-18,1766
2021-08-19,2114
2021-08-20,1999
2021-08-21,1811
2021-08-22,1588
2021-08-23,1370
2021-08-24,1469
2021-08-25,2113
2021-08-26,1829
2021-08-27,1809
2021-08-28,1736
2021-08-29,1576
2021-08-30,1424
2021-08-31,1331
2021-09-01,1991
