"Year","Week","Influenza","ADV","PIV","RSV","MPV"
2015,1,9.1,5.5,0.9,11.9,0
2015,2,13.5,2.8,0.4,12.4,0.4
2015,3,22,3.4,2.1,8.9,0.8
2015,4,29.9,6.1,0.4,7.4,1.3
2015,5,39.1,7,0.8,2.9,0.8
2015,6,38.2,3.5,0.4,3.5,0.8
2015,7,50.9,2.8,0,1.1,0.4
2015,8,59,1,1.5,1.5,0
2015,9,47.4,1.3,0.4,2.6,0.4
2015,10,44.9,2.1,0.4,1.3,0.4
2015,11,47.7,2.3,0.8,3.5,0.4
2015,12,50,2.5,0.7,1.4,1.1
2015,13,38.5,4.4,1.2,0,2
2015,14,42.5,5,3.5,0.8,3.1
2015,15,36,3.5,6.2,0.8,3.9
2015,16,24.5,3.8,5.3,0.4,1.5
2015,17,18.7,6.8,6,0,2
2015,18,8.1,4.4,10.5,0,7.7
2015,19,5.9,4.4,17.6,0,6.3
2015,20,3.8,5.5,19.9,0,7.2
2015,21,1.7,2.6,17.2,0.9,5.2
2015,22,1,6.8,15.9,1.4,9.7
2015,23,1.3,3.6,12.9,0,2.7
2015,24,0,5.2,13.6,0.5,3.7
2015,25,0,7.3,9,0,8.5
2015,26,0,6.6,11.5,1.3,1.9
2015,27,0,4,9.7,0,2.3
2015,28,0,5.3,5.3,0.6,0.6
2015,29,0,2.6,7.4,0,1.6
2015,30,0,2.7,7.5,0,1.6
2015,31,0.7,2,5.3,0,1.3
2015,32,0,1.4,10.6,0,0.7
2015,33,0,3.7,3.7,0,0
2015,34,0,3.9,6.1,0,0.6
2015,35,0,3.7,4.7,0.5,0
2015,36,0,2,10.8,0,0
2015,37,1,3.5,7.5,0,0
2015,38,0.5,0.9,8.5,0,0.5
2015,39,0,2.8,8.9,0,0
2015,40,0,9.3,3.4,0,0
2015,41,0,4.4,3.8,0.5,0.5
2015,42,0.5,5.9,6.9,0.5,0.5
2015,43,0,6.2,4.7,1.4,0
2015,44,0,9.1,4.8,2.4,0.5
2015,45,0.9,5.3,8.9,2.2,0
2015,46,0.5,10.5,7.3,3.2,0
2015,47,0.5,12.4,10.6,2.8,0
2015,48,0,7.9,11.3,8.3,1.7
2015,49,0,6.8,4.5,9,1.4
2015,50,0.4,10,6.5,14.3,0
2015,51,2.1,9.8,1.3,19.1,1.3
2015,52,3.6,8.5,4,15.2,4
2016,1,5.6,7.9,1.4,13.9,2.3
2016,2,8,12.1,2.7,10.7,4.9
2016,3,13.6,8.2,3.2,9.1,3.2
2016,4,21.1,9.4,1.8,4.9,4.5
2016,5,27.9,8.3,1.7,3.3,2.9
2016,6,39,5.6,2,2,2
2016,7,59.2,2.5,0.8,0,4.2
2016,8,48.1,2.1,0.8,0.8,3.7
2016,9,43.9,5.3,1.6,1.2,6.9
2016,10,47,1.8,0.9,0.9,8.8
2016,11,31.9,4.8,0.8,1.6,6
2016,12,36.5,5.2,1.6,1.2,9.2
2016,13,32.4,3.9,2.3,2,8.2
2016,14,30.6,3.6,2,0.8,12.1
2016,15,35.6,4,4,1.2,13.2
2016,16,31.4,3.3,4.5,0.8,14.7
2016,17,22.8,8,5.8,0,9.4
2016,18,12.6,8.8,11.7,0,13.8
2016,19,9.5,7.1,12.4,1.4,11
2016,20,6.8,6.4,16.8,1.4,10.9
2016,21,1.4,4.3,18.2,0,6.7
2016,22,2.3,8.3,18.8,0,5.5
2016,23,0.5,6.5,14.4,0,5.5
2016,24,1.8,6.5,20.2,0.6,0
2016,25,0.5,7.5,15.6,0,4.8
2016,26,0,7.3,14.7,0,1
2016,27,1.1,7.1,11.5,0.5,1.1
2016,28,0,5.6,9.6,0.6,0.6
2016,29,0,8.9,10.6,0,1.1
