Year,Month,Male,Female,Total
2017,Jan,289,426,715
2017,Feb,272,422,694
2017,Mar,320,480,800
2017,Apr,331,471,802
2017,May,311,473,784
2017,Jun,134,217,351
2017,Jul,255,384,639
2017,Aug,376,552,928
2017,Sep,335,535,870
2017,Oct,367,599,966
2017,Nov,338,498,836
2017,Dec,302,492,794
2018,Jan,338,516,854
2018,Feb,264,485,749
2018,Mar,351,507,858
2018,Apr,328,463,791
2018,May,375,486,861
2018,Jun,323,503,826
2018,Jul,362,594,956
2018,Aug,404,614,1018
2018,Sep,319,444,763
2018,Oct,437,620,1057
2018,Nov,354,540,894
2018,Dec,366,574,940
2019,Jan,391,531,922
2019,Feb,313,446,759
2019,Mar,313,586,899
2019,Apr,426,609,1035
2019,May,389,554,943
2019,Jun,363,534,897
2019,Jul,469,631,1100
2019,Aug,444,566,1010
2019,Sep,453,574,1027
2019,Oct,397,603,1000
2019,Nov,369,566,935
2019,Dec,404,560,964
2020,Jan,375,479,854
2020,Feb,304,461,765
2020,Mar,359,525,884
2020,Apr,344,492,836
2020,May,348,474,822
2020,Jun,310,490,800
2020,Jul,280,494,774
2020,Aug,273,494,767
2020,Sep,275,445,720
2020,Oct,201,393,594
2020,Nov,225,384,609
2020,Dec,191,322,513
2021,Jan,249,383,632
2021,Feb,223,350,573
2021,Mar,294,417,711
2021,Apr,241,462,703
2021,May,220,370,590
2021,Jun,236,485,721
2021,Jul,214,358,572
2021,Aug,195,415,610
2021,Sep,187,346,533
2021,Oct,214,396,610
2021,Nov,164,365,529
2021,Dec,72,224,296
2022,Jan,133,364,497
2022,Feb,192,310,502
2022,Mar,186,325,511
2022,Apr,174,310,484
2022,May,215,394,609
2022,Jun,178,371,549
2022,Jul,212,425,637
2022,Aug,219,368,587
2022,Sep,209,332,541
2022,Oct,222,399,621
2022,Nov,241,366,607
2022,Dec,6,17,23
